cometml,dataset,exp,full_search_params,net,RPMAX,train_rate,val_rate,date,aggr,alpha,att_weight_decay,batch_size,C,conditional,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,weight_decay
True,GenCAT_cora_0.5_1,classsize,True,FSGNN,3,0.6,0.2,2022-06-03 11:55:36.417,mean,0.1,0.001,512.0,7.0,False,2.0,0.5,0.5,40.0,50.66666666666667,2.6246692913372724,0.0206712748865795,0.0003521233898215,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,3.0,10.0,1.0,False,GPR_prop,2000.0,50.0,87.24208079046788,1.266086655669398,48.05756951926388,0.8105785483804683,87.24208079046788,1.266086655669398,0.1999999999999999,1.046478763333501,0.0386855429938286,97.12136081125286,2.060584330784904,87.86881919913779,8.924561763240568,97.12136081125288,2.0605843307849003,88.99138991389913,0.8296886570253433,53.80642273209792,4.140025222464619,88.99138991389913,0.8296886570253433,2.0,5e-06
True,GenCAT_cora_0.5_0,classsize,True,FSGNN,3,0.6,0.2,2022-06-03 11:55:22.859,mean,0.1,0.001,512.0,7.0,False,2.0,0.5,0.5,40.0,52.0,2.1602468994692887,0.0208008759855631,0.0003480134856986,2000.0,,8.0,64.0,PPR,last,10.0,16.0,2.0,0.05,3.0,10.0,1.0,False,GPR_prop,2000.0,50.0,87.825577992391,1.2464465577434525,41.67898727602093,4.814908730221878,87.825577992391,1.2464465577434525,0.1999999999999999,1.0809205183331112,0.0283698107134432,97.14378448555664,1.6530777771174128,90.5715715256357,7.385651135399772,97.14378448555664,1.6530777771174128,88.49938499384994,1.350215153757694,48.794935601653336,2.375124835223956,88.49938499384994,1.3502151537576994,2.0,5e-06
True,GenCAT_cora_flat_2,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:22:34.383,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,234.3333333333333,8.178562764256862,0.0131861756253436,3.3838230583321754e-05,2000.0,,8.0,64.0,PPR,cat,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,90.22140221402212,0.6903426912867046,89.7989039465743,0.7128816148552373,90.22140221402216,0.6903426912867007,0.1999999999999999,3.089693336333312,0.1003406451699408,97.72167487684727,0.3519381814343676,97.72183604584244,0.3504297422761451,97.72167487684727,0.3519381814343676,91.7589175891759,1.1505711521445066,91.73076396597288,1.0574003860185657,91.7589175891759,1.1505711521445066,2.0,0.0
True,GenCAT_cora_flat_1,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:22:15.299,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,239.66666666666663,9.46337971105226,0.0131616140540803,0.0001023104141085,2000.0,,8.0,64.0,PPR,cat,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,91.45141451414514,0.608825026851883,91.13981052572652,0.6072497973216127,91.45141451414514,0.608825026851883,0.1999999999999999,3.154655142333316,0.1330141445123318,98.05008210180624,0.5086006442267601,98.04655806552942,0.5095843505415941,98.05008210180624,0.5086006442267601,91.82041820418203,1.2988137811772988,91.69547822061897,1.3809379286291252,91.82041820418203,1.2988137811772948,2.0,0.0
True,GenCAT_cora_flat_0,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:21:57.139,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,100.0,218.66666666666669,9.030811456096052,0.0133654361106044,0.0001347473721149,2000.0,,8.0,64.0,PPR,cat,10.0,16.0,2.0,0.002,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,90.5289052890529,0.8566044450912764,90.29087267566032,0.7742615356105583,90.52890528905289,0.8566044450912715,0.1999999999999999,2.921797684666672,0.104073160843939,96.96223316912972,0.3839960372304941,96.96489675961212,0.3834336155771434,96.96223316912972,0.3839960372304941,90.34440344403444,1.140666481610788,90.25610834663884,1.1471365884942215,90.34440344403446,1.1406664816107848,2.0,0.0
True,GenCAT_cora_0.7_2,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:21:43.122,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,140.33333333333334,15.965240019770736,0.0124292241465147,0.0001092526145487,2000.0,,8.0,16.0,PPR,cat,10.0,16.0,2.0,0.01,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,94.6933149552033,0.7612240535621836,60.71385269529447,0.8701140080202566,94.6933149552033,0.7612240535621836,0.1999999999999999,1.743040952999915,0.1883333162881052,86.43356643356643,1.0466174508458568,39.61729651355832,0.5354796607732049,86.43356643356643,1.0466174508458557,94.40344403444034,2.435300107407542,60.292606014387694,2.387277033923248,94.40344403444035,2.435300107407537,2.0,0.0005
True,GenCAT_cora_0.7_1,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:21:30.025,mean,0.1,0.01,512.0,6.0,False,2.0,0.5,0.5,40.0,97.0,17.454703282114725,0.0123960889315116,0.0001993189546351,2000.0,,8.0,16.0,PPR,cat,10.0,16.0,2.0,0.01,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,95.886828340466,0.0889599949304311,57.46837649761952,7.515812647961963,95.886828340466,0.0889599949304311,0.1999999999999999,1.1995665209999515,0.2000794963856913,88.48167539267014,1.7978532092527526,49.64991060580668,5.338096246381789,88.48167539267014,1.7978532092527526,95.63345633456332,0.3479000153439353,57.7453589043594,7.425195395595215,95.63345633456332,0.3479000153439353,2.0,0.0005
True,GenCAT_cora_0.7_0,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:21:15.959,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,150.0,32.782108941717986,0.0123898366860597,0.0001024892860195,2000.0,,8.0,16.0,PPR,cat,10.0,16.0,2.0,0.01,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,95.2216861934298,0.3199721635006683,61.59550662879417,0.432596453240109,95.2216861934298,0.3199721635006683,0.1999999999999999,1.8551161050000549,0.390156748942997,87.59906759906761,0.923029830919502,39.82638420483208,0.4469196141742347,87.59906759906761,0.923029830919502,94.64944649446494,0.301290251264844,60.94144726984375,0.4550565120825026,94.64944649446494,0.301290251264844,2.0,0.0005
True,GenCAT_cora_0.5_2,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:21:01.835,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,82.33333333333333,8.730533902472528,0.0153655705487129,0.0001006296049447,2000.0,,8.0,32.0,PPR,lstm,10.0,16.0,2.0,0.05,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,92.24465905765292,0.2713965026483977,61.533193756336026,6.717910842771015,92.24465905765292,0.2713965026483977,0.1999999999999999,1.2657437223333543,0.1402140275667656,84.48555663745537,4.879140270545414,58.325255887143335,11.149236476686696,84.48555663745537,4.879140270545416,92.619926199262,0.2609250115079476,62.01236098014097,6.2697095073524975,92.619926199262,0.2609250115079476,2.0,0.0005
True,GenCAT_cora_0.5_1,classsize,True,JK-GCN,3,0.6,0.2,2022-06-02 17:20:48.775,mean,0.1,0.01,512.0,7.0,False,2.0,0.5,0.5,40.0,75.33333333333334,7.363574011458171,0.0152461922663286,0.0001355418336229,2000.0,,8.0,32.0,PPR,lstm,10.0,16.0,2.0,0.05,2.0,10.0,1.0,False,GPR_prop,2000.0,50.0,91.8337692531241,0.6575825922106803,52.92367360774842,0.3174142973224939,91.8337692531241,0.6575825922106803,0.1999999999999999,1.1477634683333235,0.1041646767591577,87.8966306836768,2.5918819482551965,62.18288871878864,3.142868322409024,87.8966306836768,2.5918819482551965,92.619926199262,0.6566468789687147,53.416825074638666,0.3840436693383147,92.619926199262,0.65664687896872,2.0,0.0005
