dataset,early_stopping,epochs,lr,net,parameter_search,RPMAX,train_rate,val_rate,weight_decay,date,aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,depth,dprate,dropout,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,exp,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,nhop,num_neighbors,output_heads,ppnp,root,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,walk_length,full_search_params
GenCAT_cora_0_0,100,2000,0.05,GPRGNN,True,10,0.6,0.2,0.0005,2022-05-19 21:42:00.066,mean,0.9,0.01,512.0,7.0,False,False,2.0,0.5,0.5,109.00000000000004,5.366563145999494,0.0185623288534767,0.0002838245900395,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,91.76975945017185,1.1537643961649175,77.07641504199958,5.329373248379764,91.76975945017185,1.1537643961649175,0.1999999999999999,2.0224615770002856,0.0863506284329906,90.0820707070707,0.6162663948831708,90.14935091077284,0.5803044017248482,90.0820707070707,0.6162663948831728,91.67896678966792,0.9204774673997356,69.85185899392283,3.4674450309407647,91.67896678966792,0.9204774673997332,2.0,
GenCAT_cora_0_0,100,2000,0.05,FSGNN,True,10,0.6,0.2,5e-05,2022-05-20 00:24:41.396,mean,0.1,0.1,512.0,7.0,False,False,2.0,0.5,0.5,118.4,23.95078286820704,0.0852356446733951,0.0083629651839636,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,8.0,10.0,1.0,GPR_prop,2000.0,50.0,91.18556701030928,0.7608793754462025,71.84467930807318,5.3678275566165405,91.18556701030928,0.7608793754462048,0.1999999999999999,9.894321346801735,0.6459326884197024,99.05934343434345,0.6755050505050514,99.0438960144827,0.6881880017245481,99.05934343434345,0.6755050505050514,90.94095940959409,1.0087038326816722,72.85740577923731,6.549166951510513,90.94095940959409,1.0087038326816715,2.0,
GenCAT_cora_0_0,40,300,0.002,GraphSAINT-GAT,True,10,0.6,0.2,0.0,2022-05-20 14:09:02.889,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.2,155.89999999999998,14.801689092802892,0.0178478073763109,0.0001852829990357,attribute,,8.0,256,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,80.99656357388317,1.2130146113211533,59.54662235492796,1.0541347844113471,80.99656357388317,1.2130146113211564,0.1999999999999999,2.782355802899974,0.2654393054311157,93.69949494949496,1.2004249451650864,93.72263348433844,1.195433636023349,93.69949494949496,1.200424945165084,80.47970479704796,1.9936446729505688,59.26351103339593,1.780944260253433,80.47970479704796,1.9936446729505688,2.0,
GenCAT_cora_0_0,40,300,0.01,GraphSAINT-GraphSAGE,True,10,0.6,0.2,0.0,2022-05-20 14:28:44.309,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.2,41.900000000000006,1.4456832294800974,0.0174084317587822,0.0003226170760427,attribute,,8.0,256,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,90.68728522336772,0.6645731823303659,71.03244178371193,4.890882470422301,90.68728522336772,0.6645731823303648,0.1999999999999999,0.7291026678999971,0.0187341284003332,93.51641414141416,0.512920065579534,93.47870861643597,0.5050325302541833,93.51641414141416,0.512920065579534,90.09225092250924,1.2514884045838837,69.10300297332986,4.273285362272432,90.09225092250924,1.2514884045838817,2.0,
GenCAT_cora_0_0,40,200,0.01,Shadow-GAT,True,10,0.6,0.2,0.0,2022-05-20 18:30:18.607,mean,0.1,0.01,64.0,7.0,False,False,2.0,0.5,0.0,41.70000000000001,1.552417469626004,0.5432209325220256,0.00235278704589,attribute,,8.0,256,PPR,last,10.0,16.0,2.0,2.0,5.0,1.0,GPR_prop,2000.0,50.0,89.3470790378007,1.6063224594529557,71.3365465042068,5.206852297367444,89.3470790378007,1.6063224594529553,0.1999999999999999,22.652887458100302,0.8656857972857026,92.87878787878788,1.7938182459775815,92.82793449352933,1.8243096959719467,92.87878787878788,1.7938182459775829,89.59409594095942,1.9511887920889,70.19775965112404,5.777904113842531,89.59409594095939,1.9511887920888995,2.0,
GenCAT_cora_0_0,40,200,0.002,Shadow-GraphSAGE,True,10,0.6,0.2,0.0,2022-05-20 21:45:40.292,mean,0.1,0.01,64.0,7.0,False,False,2.0,0.5,0.0,41.2,0.6000000000000004,0.4344525972143539,0.0022311451290367,attribute,,8.0,128,PPR,last,10.0,16.0,2.0,2.0,5.0,1.0,GPR_prop,2000.0,50.0,89.75945017182131,1.0257602444398148,71.040104898602,4.834213505707877,89.75945017182131,1.0257602444398148,0.1999999999999999,17.900149296300153,0.3203778275781818,93.6931818181818,1.9038984788891824,93.67660013585764,1.9003982469802083,93.6931818181818,1.9038984788891824,89.18819188191881,1.3284132841328398,68.1452006296792,3.772075160265725,89.18819188191883,1.3284132841328409,2.0,
GenCAT_cora_1_0,100,2000,0.05,GCN,True,10,0.6,0.2,0.0,2022-05-20 01:08:21.535,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,101.0,0.0,0.0162105682940584,0.0001731560521603,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,82.72727272727272,1.061589469311169,58.74489808918186,3.266296544531785,82.72727272727272,1.0615894693111685,0.1999999999999999,1.6372673976999066,0.0174887612681919,94.83023702754645,1.0238021694152386,94.82219930858136,1.036526599191585,94.83023702754645,1.0238021694152386,82.10332103321034,1.5828494900020071,56.530206837247775,1.356184821598987,82.10332103321034,1.5828494900020065,2.0,
GenCAT_cora_1_0,100,2000,0.05,JK-GCN,False,10,0.6,0.2,0.0,2022-06-02 12:41:46.908,mean,0.1,0.01,512.0,7.0,True,False,2.0,0.5,0.5,101.0,0.0,0.0131263097574262,0.0001675821121148,attribute,,8.0,64,PPR,cat,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,81.83471074380165,1.4865928616064394,57.48010565834573,1.227874059160512,81.83471074380165,1.4865928616064394,0.1999999999999999,1.3257572855000488,0.0169257933235997,95.57335041639976,0.8841647325631046,95.59670692928344,0.876231447698852,95.57335041639976,0.8841647325631046,82.52767527675276,1.6482738511430923,57.57939990474189,1.425441968575245,82.52767527675276,1.648273851143092,2.0,True
GenCAT_cora_1_0,100,2000,0.05,ChebNet,True,10,0.6,0.2,0.0005,2022-05-20 05:29:31.263,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,139.7,17.158379876899797,0.020203390877361,0.0001739630027256,attribute,,8.0,16,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,80.29752066115702,1.4500305586420708,56.06209834673492,1.107905278114352,80.29752066115702,1.4500305586420703,0.1999999999999999,2.8227055516996185,0.3502026178743271,99.11595131326074,0.3447437295854906,99.10639681640036,0.3497604149389408,99.11595131326074,0.3447437295854906,79.3357933579336,2.1133315222548124,54.84468797124345,1.5362038806869245,79.3357933579336,2.113331522254812,2.0,
GenCAT_cora_1_0,40,100,0.2,SGC,True,10,0.6,0.2,0.0005,2022-05-21 04:22:49.566,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,42.00000000000001,0.8944271909999166,0.0353491630617988,0.000608608533052,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,78.5785123966942,4.491611986713824,75.59260829554319,4.462528903153964,78.5785123966942,4.491611986713824,0.1999999999999999,1.484152030601399,0.0113784192241579,66.06021780909673,0.6481301663006688,54.72246472451746,0.445937506332994,66.06021780909673,0.6481301663006688,78.3210332103321,3.533824481996891,75.70640633222013,3.008246185854836,78.3210332103321,3.5338244819968896,2.0,
GenCAT_cora_1_0,100,2000,0.05,GAT,True,10,0.6,0.2,0.0005,2022-05-20 03:43:30.372,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,131.0,10.188228501560028,0.0176545214695006,0.000347201652782,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,86.33057851239668,1.1500379363172857,62.197032892341184,4.053045418269602,86.33057851239668,1.1500379363172857,0.1999999999999999,2.311121526099305,0.1643129867028146,93.9654067905189,1.075317630152839,93.98322707552286,1.064406309001794,93.9654067905189,1.075317630152839,86.21771217712177,1.548167283822744,62.04020858624541,4.172203766503949,86.21771217712177,1.548167283822744,2.0,
GenCAT_cora_1_0,100,2000,0.05,JK-GAT,False,10,0.6,0.2,0.0005,2022-06-02 12:43:24.527,mean,0.1,0.01,512.0,7.0,True,False,2.0,0.5,0.5,114.8,4.467661580737734,0.0164330369302246,0.0033413633815878,attribute,,8.0,64,PPR,max,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,86.42975206611571,1.3798435810539074,62.274615501837296,4.583952783908333,86.42975206611571,1.3798435810539091,0.1999999999999999,1.8880089749000943,0.4002640141974273,94.97757847533632,0.6490160226477368,95.00185713914068,0.6335818454689803,94.97757847533632,0.6490160226477368,86.90036900369003,1.763899395235,60.22998206136483,1.8212802888080668,86.90036900369003,1.763899395235,2.0,True
GenCAT_cora_1_0,40,2000,0.05,H2GCN,True,10,0.6,0.2,0.0005,2022-05-20 04:08:50.736,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,83.2,6.910861017268399,0.0430614806543008,0.0024295350708676,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,87.10743801652893,2.098587801402167,60.84473298214122,1.6756613919751866,87.10743801652893,2.098587801402167,0.1999999999999999,3.5661062031977053,0.1028674804137276,94.40743113388854,0.9575212065573614,94.41220480187096,0.9545721101634616,94.40743113388854,0.9575212065573592,86.80811808118081,0.9736734171187272,61.48077287422255,3.148685951988337,86.80811808118081,0.9736734171187272,2.0,
GenCAT_cora_1_0,40,500,0.1,GraphSAGE,True,10,0.6,0.2,5e-06,2022-05-20 04:18:02.585,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,46.7,4.3139309220246,0.0164077304275781,0.0002139433914141,attribute,,8.0,128,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,79.6694214876033,3.018056898196021,57.654535471470126,3.093802875438936,79.6694214876033,3.0180568981960194,0.1999999999999999,0.7660898596011976,0.069546092765856,94.31133888532992,3.577340031422266,93.7049053582766,5.297322734579556,94.31133888532992,3.577340031422266,79.40959409594096,3.239255549425054,55.97982791310376,3.154466774705861,79.40959409594096,3.239255549425053,2.0,
GenCAT_cora_1_0,40,500,0.1,JK-GraphSAGE,False,10,0.6,0.2,5e-06,2022-06-02 12:44:39.913,mean,0.1,0.01,512.0,7.0,True,False,2.0,0.5,0.5,41.8,1.4000000000000012,0.0148798672114209,0.000167146756379,attribute,,8.0,128,PPR,max,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,78.21487603305786,2.373268244072404,54.97208597661466,1.892771171080312,78.21487603305786,2.3732682440724053,0.1999999999999999,0.6219311250000372,0.0204592559932585,97.09801409352978,1.7854779894391513,97.11896468640612,1.7852754518320986,97.09801409352978,1.7854779894391488,77.12177121771218,2.5337954834100214,53.79443602078842,1.542492153144408,77.12177121771218,2.5337954834100187,2.0,True
GenCAT_cora_1_0,40,2000,0.002,MLP,True,10,0.6,0.2,0.0005,2022-05-20 05:32:02.329,mean,0.1,0.01,512.0,7.0,False,False,2.0,0.5,0.5,208.5,19.795201438732573,0.0112158897580527,0.0001948089101857,attribute,,8.0,64,PPR,last,10.0,16.0,2.0,2.0,10.0,1.0,GPR_prop,2000.0,50.0,30.69421487603306,1.0082644628099175,21.10607060733333,0.5831207782672004,30.69421487603306,1.0082644628099175,0.1999999999999999,2.3381106859014835,0.2201498840576033,84.42024343369636,2.231106680439743,84.14429155951683,2.390897493691514,84.42024343369636,2.2311066804397446,29.557195571955724,1.6925970392885186,20.453148109633464,1.1982901454012922,29.557195571955724,1.6925970392885186,2.0,
