aggr,alpha,att_weight_decay,batch_size,C,cometml,conditional,dataset,depth,dprate,dropout,early_stopping,epoch_mean,epoch_std,epoch_time_mean,epoch_time_std,epochs,exp,full_search_params,Gamma,heads,hidden,Init,JK,K,kernel_size,layers,lr,net,nhop,num_neighbors,output_heads,parameter_search,ppnp,root,RPMAX,sample_coverage,test_acc_mean,test_acc_std,test_f1_macro_mean,test_f1_macro_std,test_f1_micro_mean,test_f1_micro_std,test_rate,total_time_mean,total_time_std,train_acc_mean,train_acc_std,train_f1_macro_mean,train_f1_macro_std,train_f1_micro_mean,train_f1_micro_std,train_rate,val_acc_mean,val_acc_std,val_f1_macro_mean,val_f1_macro_std,val_f1_micro_mean,val_f1_micro_std,val_rate,walk_length,weight_decay,date,num_edge_layers,num_node_layers,supplementary
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,48.0,0.8164965809277268,0.01243859341042,0.0002894883598494,100,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.2,SGC,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,98.97277863379558,0.2905420775291376,96.03818117101754,0.2707884739972039,98.97277863379558,0.2905420775291376,0.1999999999999999,0.5969524440006352,0.0133148597766889,77.84178187403992,0.0543092765888269,37.05012041226048,0.0248601790252906,77.84178187403992,0.0543092765888269,0.6,98.83148831488316,0.6088250268518829,96.27654415552524,2.1810285160594205,98.83148831488316,0.6088250268518829,0.2,2.0,0.0005,2022-08-05 02:39:02.796,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,134.0,12.19289410544792,0.0144620669090547,9.817969187102272e-05,2000,classsize,False,,8.0,32,PPR,last,10.0,16.0,2.0,0.01,GAT,2.0,10.0,8.0,True,GPR_prop,2000.0,3,50.0,98.3307652799178,0.1309455447763921,75.92273897811413,9.627276358825466,98.3307652799178,0.1309455447763921,0.1999999999999999,1.9381716509997204,0.1790848684047567,87.09677419354838,6.356969841903401,48.91865917924381,7.851478511425832,87.09677419354838,6.356969841903395,0.6,98.95448954489544,0.2301142304289025,77.9973852038456,13.011784604645676,98.95448954489544,0.2301142304289025,0.2,2.0,0.0005,2022-08-05 02:09:34.989,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,129.33333333333331,3.091206165165237,0.0256235850117956,0.0061529940611785,2000,classsize,True,,8.0,32,PPR,max,10.0,16.0,2.0,0.01,JK-GAT,2.0,10.0,8.0,False,GPR_prop,2000.0,3,50.0,98.45916795069336,0.2741930727280728,64.60425025288652,6.859352653149256,98.45916795069336,0.2741930727280728,0.1999999999999999,3.32115396433331,0.8331236773842201,92.05069124423964,0.9910512980463893,58.17753455321757,3.6031975205455993,92.05069124423964,0.9910512980463893,0.6,98.70848708487084,0.5431587248664089,70.08246104610973,1.1232230930172384,98.70848708487084,0.5431587248664089,0.2,2.0,0.0005,2022-08-08 17:46:26.526,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,267.66666666666674,14.522013940527977,0.0161689654287901,0.000477503546703,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,H2GCN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,98.94709809964048,0.130945544776392,69.32682450766178,0.8238915935174852,98.94709809964048,0.130945544776392,0.1999999999999999,4.323333573328759,0.1740401943791664,92.85714285714285,0.3258556595329724,61.11521353522641,0.8365718400332169,92.85714285714285,0.3258556595329724,0.6,98.83148831488316,0.608825026851883,74.66642072376902,12.057655661867836,98.83148831488316,0.608825026851883,0.2,2.0,0.0005,2022-08-05 02:29:56.770,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,51.33333333333333,1.2472191289246484,0.0142327921670637,0.0001100979348081,500,classsize,False,,8.0,128,PPR,last,10.0,16.0,2.0,0.1,GraphSAGE,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,97.99691833590138,0.3826313411851948,69.35637035371528,14.584662923847342,97.99691833590138,0.3826313411851948,0.1999999999999999,0.7305485776669229,0.0157503277407786,88.17204301075269,5.8452527159571295,51.12392688851553,8.990237062939975,88.17204301075269,5.8452527159571295,0.6,98.4009840098401,0.5703332408053945,75.19554321159454,15.877472664726277,98.4009840098401,0.5703332408053945,0.2,2.0,5e-06,2022-08-05 02:42:34.739,,,
mean,0.1,0.01,512.0,7.0,True,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,47.66666666666666,4.027681991198192,0.0214164638258635,0.0035510271827806,500,classsize,True,,8.0,128,PPR,cat,10.0,16.0,2.0,0.1,JK-GraphSAGE,2.0,10.0,1.0,False,GPR_prop,2000.0,3,50.0,98.3307652799178,0.4462801026446491,65.80120040198022,7.670614135418899,98.3307652799178,0.4462801026446491,0.1999999999999999,1.0271998853333268,0.2216075525950194,93.08755760368662,0.5721837337078082,57.49740284816821,4.312680690228828,93.08755760368662,0.5721837337078082,0.6,98.09348093480936,0.0869750038359825,67.31921115288492,6.130402271434362,98.09348093480936,0.0869750038359825,0.2,2.0,5e-06,2022-08-08 17:47:05.398,2.0,2.0,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,440.0,23.76271589416213,0.0093635692061027,1.105759841554639e-05,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,MLP,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,90.83204930662558,0.3928366343291812,53.51017267392994,0.7427436158050775,90.83204930662558,0.3928366343291797,0.1999999999999999,4.12008771533389,0.2247409731359225,98.07987711213516,0.6402969278238476,80.63814328357294,8.609568555809624,98.07987711213516,0.6402969278238476,0.6,90.83640836408364,0.2301142304288986,51.89925612684322,2.352118223401563,90.83640836408364,0.2301142304288986,0.2,2.0,5e-06,2022-08-04 22:43:28.620,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,100,1175.0,104.2337117571214,0.0213863748275485,5.027287653363493e-05,2000,classsize,False,,8.0,64,PPR,last,10.0,25.0,2.0,0.0001,MoNet,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,97.09809964047253,0.1583054443494853,50.21042538002377,4.530582224911695,97.09809964047253,0.1583054443494853,0.1999999999999999,25.134044830000985,2.288938206541596,96.92780337941628,0.4827114089852741,88.31101191210905,1.9405009328795988,96.92780337941628,0.4827114089852741,0.6,96.92496924969252,0.6271856720286331,46.5818146868342,6.692821691944198,96.92496924969252,0.6271856720286331,0.2,2.0,0.0001,2022-08-04 22:51:35.774,,,
mean,0.9,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,50.66666666666667,1.699673171197596,0.0150619560046218,0.0001171486628513,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.05,GPRGNN,2.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,98.84437596302004,0.166428882855876,85.26884165500917,12.037011838688942,98.84437596302004,0.166428882855876,0.1999999999999999,0.7631877973350736,0.02775507851394,90.0921658986175,1.1404948083653987,59.43832542513634,3.971109159510896,90.0921658986175,1.1404948083653987,0.6,99.0159901599016,0.0869750038359825,64.9213511560736,12.361599166419948,99.0159901599016,0.0869750038359825,0.2,2.0,0.0005,2022-08-05 04:02:22.771,,,
mean,0.1,0.01,512.0,7.0,False,False,GenCAT_cora_0.6_0,2.0,0.5,0.5,40,499.3333333333333,2.624669291337282,0.0237054974619402,6.609775877794765e-05,2000,classsize,False,,8.0,64,PPR,last,10.0,16.0,2.0,0.002,FSGNN,8.0,10.0,1.0,True,GPR_prop,2000.0,3,50.0,98.74165382639958,0.1452710387645688,68.54149025365534,0.3895821212560599,98.74165382639958,0.1452710387645688,0.1999999999999999,11.837118427332218,0.0953150799112541,97.54224270353302,0.3561297425305572,72.92472591009079,4.430681064598059,97.54224270353302,0.3561297425305572,0.6,99.20049200492004,0.5290482944060674,78.58051832669784,10.333443299843356,99.20049200492004,0.5290482944060674,0.2,2.0,0.0005,2022-08-05 03:20:36.525,,,
